row,column,row_offset,column_offset,text,row_height_feet,column_width_feet,is_merged,merge_top,merge_left,merge_bottom,merge_right,text_size,is_bold,horizontal_alignment,vertical_alignment
27,2,27,2,"--,
3000 at 3 days",0.025000000000000001,0.06015938453670739,True,27,2,28,2,,,,
27,3,27,3,-,0.025000000000000001,0.047705688906404017,True,27,3,28,3,,,,
27,4,27,4,-,0.025000000000000001,0.030966850693630685,True,27,4,28,4,,,,
27,5,27,5,"3/4""",0.025000000000000001,0.030966850693630685,True,27,5,28,5,,,,
27,6,27,6,-,0.025000000000000001,0.062770643297900025,True,27,6,28,6,,,,
27,7,27,7,-,0.025000000000000001,0.049898476712277338,True,27,7,28,7,,,,
27,8,27,8,F_,0.025000000000000001,0.02615443470745835,True,27,8,27,8,,,,
27,9,27,9,C_,0.025000000000000001,0.02615443470745828,True,27,9,27,9,,,,
27,10,27,10,7,0.025000000000000001,0.041847095531933352,True,27,10,27,10,,,,
28,0,28,0,,0.025000000000000001,0.021795362256215287,True,27,0,28,1,,,,
28,1,28,1,,0.025000000000000001,0.10374592433958478,True,27,0,28,1,,,,
28,2,28,2,,0.025000000000000001,0.06015938453670739,True,27,2,28,2,,,,
28,3,28,3,,0.025000000000000001,0.047705688906404017,True,27,3,28,3,,,,
28,4,28,4,,0.025000000000000001,0.030966850693630685,True,27,4,28,4,,,,
28,5,28,5,,0.025000000000000001,0.030966850693630685,True,27,5,28,5,,,,
28,6,28,6,,0.025000000000000001,0.062770643297900025,True,27,6,28,6,,,,
28,7,28,7,,0.025000000000000001,0.049898476712277338,True,27,7,28,7,,,,
28,8,28,8,S_,0.025000000000000001,0.02615443470745835,True,28,8,28,8,,,,
28,9,28,9,W,0.025000000000000001,0.02615443470745828,True,28,9,28,9,,,,
